省,地区,结尾,常住人口
安徽省,安徽省,省,59500468
安徽省,安庆市,市,5311379
安徽省,蚌埠市,市,3164467
安徽省,亳州市,市,4850657
安徽省,巢湖市,市,3873102
安徽省,池州市,市,1402518
安徽省,滁州市,市,3937868
安徽省,阜阳市,市,7599913
安徽省,合肥市,市,5702466
安徽省,淮北市,市,2114276
安徽省,淮南市,市,2333896
安徽省,黄山市,市,1358980
安徽省,界首市,市,561956
安徽省,六安市,市,5611701
安徽省,马鞍山市,市,1366302
安徽省,明光市,市,532732
安徽省,宁国市,市,376857
安徽省,天长市,市,602840
安徽省,桐城市,市,664455
安徽省,铜陵市,市,723958
安徽省,芜湖市,市,2263123
安徽省,宿州市,市,5352924
安徽省,宣城市,市,2532938
北京市,北京市,市,19612368
福建省,福安市,市,563640
福建省,福鼎市,市,529534
福建省,福建省,省,36894217
福建省,福清市,市,1234838
福建省,福州市,市,7115369
福建省,建瓯市,市,452174
福建省,建阳市,市,276267.3
福建省,晋江市,市,1986447
福建省,龙海市,市,877762
福建省,龙岩市,市,2559545
福建省,南安市,市,1418451
福建省,南平市,市,2645548
福建省,宁德市,市,2821996
福建省,莆田市,市,2778508
福建省,泉州市,市,8128533
福建省,三明市,市,2503388
福建省,厦门市,市,3531347
福建省,邵武市,市,275112
福建省,石狮市,市,636700
福建省,武夷山市,市,233554
福建省,永安市,市,347042
福建省,漳平市,市,240194
福建省,漳州市,市,4809983
福建省,长乐市,市,682626
甘肃省,白银市,市,1708752
甘肃省,定西市,市,2698624
甘肃省,敦煌市,市,186027
甘肃省,甘肃省,省,25575263
甘肃省,合作市,市,90290
甘肃省,嘉峪关市,市,231853
甘肃省,金昌市,市,464050
甘肃省,酒泉市,市,1095947
甘肃省,兰州市,市,3616163
甘肃省,临夏市,市,274466
甘肃省,陇南市,市,2567718
甘肃省,平凉市,市,2068033
甘肃省,庆阳市,市,2211191
甘肃省,天水市,市,3262549
甘肃省,武威市,市,1815059
甘肃省,玉门市,市,159792
甘肃省,张掖市,市,1199515
广东省,潮州市,市,2669466
广东省,从化市,市,593415
广东省,东莞市,市,8220207
广东省,恩平市,市,492814
广东省,佛山市,市,7197394
广东省,高要市,市,753120
广东省,高州市,市,1288665
广东省,广东省,省,104320459
广东省,广州市,市,12701948
广东省,河源市,市,2950195
广东省,鹤山市,市,494938
广东省,化州市,市,1178809
广东省,惠州市,市,4598402
广东省,江门市,市,4450703
广东省,揭阳市,市,5884347
广东省,开平市,市,699242
广东省,乐昌市,市,397779
广东省,雷州市,市,1427664
广东省,连州市,市,367642
广东省,廉江市,市,1443099
广东省,陆丰市,市,1358265
广东省,罗定市,市,959006
广东省,茂名市,市,5817494
广东省,梅州市,市,4238461
广东省,南雄市,市,316179
广东省,普宁市,市,2055552
广东省,清远市,市,3698412
广东省,汕头市,市,5389328
广东省,汕尾市,市,2935469
广东省,韶关市,市,2826246
广东省,深圳市,市,10358381
广东省,四会市,市,542873
广东省,台山市,市,941095
广东省,吴川市,市,927275
广东省,信宜市,市,913708
广东省,兴宁市,市,962883
广东省,阳春市,市,849504
广东省,阳江市,市,2421748
广东省,英德市,市,941952
广东省,云浮市,市,2367154
广东省,增城市,市,1037109
广东省,湛江市,市,6994832
广东省,肇庆市,市,3916467
广东省,中山市,市,3121275
广东省,珠海市,市,1562530
广西壮族自治区,百色市,市,3466758
广西壮族自治区,北海市,市,1539251
广西壮族自治区,北流市,市,1132216
广西壮族自治区,岑溪市,市,772113
广西壮族自治区,崇左市,市,1994285
广西壮族自治区,东兴市,市,144709
广西壮族自治区,防城港市,市,866927
广西壮族自治区,贵港市,市,4118808
广西壮族自治区,桂林市,市,4747963
广西壮族自治区,桂平市,市,1496904
广西壮族自治区,合山市,市,114496
广西壮族自治区,河池市,市,3369251
广西壮族自治区,贺州市,市,1954072
广西壮族自治区,来宾市,市,2099711
广西壮族自治区,柳州市,市,3758704
广西壮族自治区,南宁市,市,6658742
广西壮族自治区,凭祥市,市,112159
广西壮族自治区,钦州市,市,3079721
广西壮族自治区,梧州市,市,2882200
广西壮族自治区,宜州市,市,558611
广西壮族自治区,玉林市,市,5487368
贵州省,安顺市,市,2297612
贵州省,毕节市,市,1137383
贵州省,赤水市,市,237052
贵州省,都匀市,市,443721
贵州省,福泉市,市,283904
贵州省,贵阳市,市,4322611
贵州省,贵州省,省,34748556
贵州省,凯里市,市,479011
贵州省,六盘水市,市,2851332
贵州省,清镇市,市,467790
贵州省,仁怀市,市,546477
贵州省,铜仁市,市,361670
贵州省,兴义市,市,783120
贵州省,遵义市,市,6127082
海南省,儋州市,市,932356
海南省,东方市,市,408309
海南省,海口市,市,2046170
海南省,海南省,省,8671485
海南省,琼海市,市,483217
海南省,三亚市,市,685408
海南省,万宁市,市,545597
海南省,文昌市,市,537426
海南省,五指山市,市,104119
河北省,安国市,市,370317
河北省,霸州市,市,622975
河北省,保定市,市,11194382
河北省,泊头市,市,584308
河北省,沧州市,市,7134062
河北省,承德市,市,3473201
河北省,定州市,市,1165182
河北省,高碑店市,市,640280
河北省,藁城市,市,775110
河北省,邯郸市,市,9174683
河北省,河北省,省,71854210
河北省,河间市,市,810306
河北省,衡水市,市,4340773
河北省,黄骅市,市,548507
河北省,冀州市,市,362013
河北省,晋州市,市,537679
河北省,廊坊市,市,4358839
河北省,鹿泉市,市,432936
河北省,南宫市,市,469030
河北省,迁安市,市,728160
河北省,秦皇岛市,市,2987605
河北省,任丘市,市,822455
河北省,三河市,市,652042
河北省,沙河市,市,498416
河北省,深州市,市,566087
河北省,石家庄市,市,10163788
河北省,唐山市,市,7577289
河北省,武安市,市,819000
河北省,辛集市,市,615919
河北省,新乐市,市,487652
河北省,邢台市,市,7104103
河北省,张家口市,市,4345485
河北省,涿州市,市,603535
河北省,遵化市,市,737011
河南省,安阳市,市,5173188
河南省,登封市,市,668637
河南省,邓州市,市,1468157
河南省,巩义市,市,807911
河南省,河南省,省,94029939
河南省,鹤壁市,市,1569208
河南省,辉县市,市,740435
河南省,济源市,市,675757
河南省,焦作市,市,3540101
河南省,开封市,市,4676483
河南省,林州市,市,789702
河南省,灵宝市,市,721049
河南省,洛阳市,市,6549941
河南省,漯河市,市,2544266
河南省,孟州市,市,367113
河南省,南阳市,市,10263660
河南省,平顶山市,市,4904701
河南省,濮阳市,市,3598740
河南省,沁阳市,市,447701
河南省,汝州市,市,927934
河南省,三门峡市,市,2234018
河南省,商丘市,市,7362975
河南省,卫辉市,市,495744
河南省,舞钢市,市,313828
河南省,项城市,市,1003698
河南省,新密市,市,797256
河南省,新乡市,市,5708191
河南省,新郑市,市,758128
河南省,信阳市,市,6109106
河南省,许昌市,市,4307488
河南省,偃师市,市,666696
河南省,义马市,市,144779
河南省,荥阳市,市,613804
河南省,永城市,市,1240382
河南省,禹州市,市,1131896
河南省,长葛市,市,687130
河南省,郑州市,市,8627089
河南省,周口市,市,8953793
河南省,驻马店市,市,7231234
黑龙江省,安达市,市,472826
黑龙江省,北安市,市,436444
黑龙江省,大庆市,市,2904532
黑龙江省,富锦市,市,437165
黑龙江省,哈尔滨市,市,10635971
黑龙江省,海林市,市,400859
黑龙江省,海伦市,市,769437
黑龙江省,鹤岗市,市,1058665
黑龙江省,黑河市,市,1673899
黑龙江省,黑龙江省,省,38313991
黑龙江省,虎林市,市,317884
黑龙江省,鸡西市,市,1862165
黑龙江省,佳木斯市,市,2552097
黑龙江省,密山市,市,407451
黑龙江省,牡丹江市,市,2798723
黑龙江省,穆棱市,市,293271
黑龙江省,讷河市,市,625892
黑龙江省,宁安市,市,437452
黑龙江省,七台河市,市,920471
黑龙江省,齐齐哈尔市,市,5367003
黑龙江省,尚志市,市,585386
黑龙江省,双城市,市,825634
黑龙江省,双鸭山市,市,1462626
黑龙江省,绥芬河市,市,132315
黑龙江省,绥化市,市,5418153
黑龙江省,铁力市,市,349369
黑龙江省,同江市,市,179791
黑龙江省,五常市,市,881224
黑龙江省,五大连池市,市,326391
黑龙江省,伊春市,市,1148126
黑龙江省,肇东市,市,903067
湖北省,安陆市,市,568590
湖北省,赤壁市,市,478410
湖北省,大冶市,市,909724
湖北省,丹江口市,市,443755
湖北省,当阳市,市,468293
湖北省,鄂州市,市,1048668
湖北省,恩施市,市,749574
湖北省,广水市,市,755910
湖北省,汉川市,市,1015507
湖北省,洪湖市,市,819446
湖北省,湖北省,省,57237727
湖北省,黄冈市,市,6162069
湖北省,黄石市,市,2429318
湖北省,荆门市,市,2873687
湖北省,荆州市,市,5691707
湖北省,老河口市,市,471482
湖北省,利川市,市,654094
湖北省,麻城市,市,849090
湖北省,潜江市,市,946277
湖北省,十堰市,市,3340841
湖北省,石首市,市,577022
湖北省,松滋市,市,765911
湖北省,随州市,市,2162222
湖北省,天门市,市,1418913
湖北省,武汉市,市,9785388
湖北省,武穴市,市,644247
湖北省,仙桃市,市,1175085
湖北省,咸宁市,市,2462583
湖北省,襄樊市,市,5500307
湖北省,孝感市,市,4814542
湖北省,宜昌市,市,4059686
湖北省,宜城市,市,512530
湖北省,宜都市,市,384598
湖北省,应城市,市,593812
湖北省,枣阳市,市,1004741
湖北省,枝江市,市,495995
湖北省,钟祥市,市,1022514
湖南省,常德市,市,5714623
湖南省,常宁市,市,810447
湖南省,郴州市,市,4583531
湖南省,汩罗市,市,692080
湖南省,衡阳市,市,7148344
湖南省,洪江市,市,477996
湖南省,湖南省,省,65700762
湖南省,怀化市,市,4741673
湖南省,吉首市,市,302065
湖南省,津市市,市,250898
湖南省,耒阳市,市,1151554
湖南省,冷水江市,市,327146
湖南省,醴陵市,市,947387
湖南省,涟源市,市,995515
湖南省,临湘市,市,498319
湖南省,浏阳市,市,1279469
湖南省,娄底市,市,3784634
湖南省,韶山市,市,86036
湖南省,邵阳市,市,7071735
湖南省,武冈市,市,734870
湖南省,湘潭市,市,2752171
湖南省,湘乡市,市,788216
湖南省,益阳市,市,4307933
湖南省,永州市,市,5194275
湖南省,沅江市,市,666270
湖南省,岳阳市,市,5476084
湖南省,张家界市,市,1478149
湖南省,长沙市,市,7040952
湖南省,株洲市,市,3857100
湖南省,资兴市,市,337294
吉林省,白城市,市,2032356
吉林省,白山市,市,1296127
吉林省,大安市,市,431017
吉林省,德惠市,市,748369
吉林省,敦化市,市,483464
吉林省,公主岭市,市,1092936
吉林省,和龙市,市,189532
吉林省,桦甸市,市,444843
吉林省,珲春市,市,241777
吉林省,吉林省,省,27452815
吉林省,吉林市,市,4413157
吉林省,集安市,市,232278
吉林省,蛟河市,市,447226
吉林省,九台市,市,611670
吉林省,辽源市,市,1176239
吉林省,临江市,市,174970
吉林省,龙井市,市,177234
吉林省,梅河口市,市,615154
吉林省,磐石市,市,505779
吉林省,舒兰市,市,645702
吉林省,双辽市,市,420720
吉林省,四平市,市,3385156
吉林省,松原市,市,2880086
吉林省,洮南市,市,432122
吉林省,通化市,市,2324439
吉林省,图们市,市,134452
吉林省,延吉市,市,562959
吉林省,榆树市,市,1160568
吉林省,长春市,市,7674439
江苏省,常熟市,市,1510453
江苏省,常州市,市,4592431
江苏省,大丰市,市,706662
江苏省,丹阳市,市,1660662
江苏省,东台市,市,990306
江苏省,高邮市,市,744685
江苏省,海门市,市,907598
江苏省,淮安市,市,4801662
江苏省,江都市,市,1006372
江苏省,江苏省,省,78660941
江苏省,江阴市,市,1595138
江苏省,姜堰市,市,728645
江苏省,金坛市,市,551991
江苏省,靖江市,市,684360
江苏省,句容市,市,617706
江苏省,昆山市,市,1644860
江苏省,溧阳市,市,749522
江苏省,连云港市,市,4393482
江苏省,南京市,市,8003744
江苏省,南通市,市,7283622
江苏省,邳州市,市,1458038
江苏省,启东市,市,972525
江苏省,如皋市,市,1267066
江苏省,苏州市,市,10459890
江苏省,太仓市,市,711854
江苏省,泰兴市,市,1073921
江苏省,泰州市,市,4618937
江苏省,无锡市,市,6374399
江苏省,吴江市,市,1273880
江苏省,新沂市,市,920628
江苏省,兴化市,市,1253548
江苏省,宿迁市,市,4719178
江苏省,徐州市,市,8577225
江苏省,盐城市,市,7262200
江苏省,扬中市,市,334977
江苏省,扬州市,市,4460066
江苏省,仪征市,市,564021
江苏省,宜兴市,市,1235542
江苏省,张家港市,市,1246762
江苏省,镇江市,市,3114105
江西省,德兴市,市,293201
江西省,丰城市,市,1336392
江西省,抚州市,市,3912307
江西省,赣州市,市,8368447
江西省,高安市,市,811633
江西省,贵溪市,市,558451
江西省,吉安市,市,4810339
江西省,江西省,省,44567797
江西省,井冈山市,市,152310
江西省,景德镇市,市,1587477
江西省,九江市,市,4728778
江西省,乐平市,市,810353
江西省,南昌市,市,5042566
江西省,南康市,市,787636
江西省,萍乡市,市,1854515
江西省,瑞昌市,市,419047
江西省,瑞金市,市,618885
江西省,上饶市,市,6579747
江西省,新余市,市,1138874
江西省,宜春市,市,5419591
江西省,鹰潭市,市,1125156
江西省,樟树市,市,555120
辽宁省,鞍山市,市,3645884
辽宁省,北票市,市,596164
辽宁省,北镇市,市,514898
辽宁省,本溪市,市,1709538
辽宁省,朝阳市,市,3044641
辽宁省,大连市,市,6690432
辽宁省,大石桥市,市,704891
辽宁省,丹东市,市,2444697
辽宁省,灯塔市,市,496122
辽宁省,东港市,市,627475
辽宁省,凤城市,市,543933
辽宁省,抚顺市,市,2138090
辽宁省,阜新市,市,1819339
辽宁省,盖州市,市,691595
辽宁省,海城市,市,1293877
辽宁省,葫芦岛市,市,2623541
辽宁省,锦州市,市,3126463
辽宁省,开原市,市,545624
辽宁省,辽宁省,省,43746323
辽宁省,辽阳市,市,1858768
辽宁省,凌海市,市,508079
辽宁省,凌源市,市,570660
辽宁省,盘锦市,市,1392493
辽宁省,普兰店市,市,741230
辽宁省,沈阳市,市,8106171
辽宁省,调兵山市,市,241431
辽宁省,铁岭市,市,2717732
辽宁省,瓦房店市,市,942197
辽宁省,新民市,市,657763
辽宁省,兴城市,市,546176
辽宁省,营口市,市,2428534
辽宁省,庄河市,市,841321
内蒙古自治区,阿尔山市,市,68311
内蒙古自治区,巴彦淖尔市,市,1669915
内蒙古自治区,包头市,市,2650364
内蒙古自治区,赤峰市,市,4341245
内蒙古自治区,额尔古纳市,市,110438
内蒙古自治区,鄂尔多斯市,市,1940653
内蒙古自治区,二连浩特市,市,74179
内蒙古自治区,丰镇市,市,245608
内蒙古自治区,根河市,市,76667
内蒙古自治区,呼和浩特市,市,2866615
内蒙古自治区,呼伦贝尔市,市,2549252
内蒙古自治区,霍林郭勒市,市,102214
内蒙古自治区,满洲里市,市,249472
内蒙古自治区,通辽市,市,3139153
内蒙古自治区,乌海市,市,532902
内蒙古自治区,乌兰察布市,市,2143590
内蒙古自治区,乌兰浩特市,市,327081
内蒙古自治区,锡林浩特市,市,245886
内蒙古自治区,牙克石市,市,366323
内蒙古自治区,扎兰屯市,市,352173
青海省,德令哈市,市,78184
青海省,格尔木市,市,215214
青海省,固原市,市,1228156
青海省,灵武市,市,261677
青海省,青海省,省,5626723
青海省,青铜峡市,市,264717
青海省,石嘴山市,市,725482
青海省,吴忠市,市,1273792
青海省,西宁市,市,2208708
青海省,银川市,市,1993088
青海省,中卫市,市,1080832
山东省,安丘市,市,926894
山东省,滨州市,市,3748474
山东省,昌邑市,市,603482
山东省,德州市,市,5568235
山东省,东营市,市,2035338
山东省,肥城市,市,946627
山东省,高密市,市,895582
山东省,海阳市,市,638729
山东省,菏泽市,市,8287693
山东省,即墨市,市,1177201
山东省,济南市,市,6813984
山东省,济宁市,市,8081905
山东省,胶南市,市,868348
山东省,胶州市,市,843054
山东省,莱芜市,市,1298529
山东省,莱西市,市,750225
山东省,莱阳市,市,878591
山东省,莱州市,市,883896
山东省,乐陵市,市,652415
山东省,聊城市,市,5789863
山东省,临清市,市,719611
山东省,临沂市,市,10039440
山东省,龙口市,市,688255
山东省,蓬莱市,市,451109
山东省,平度市,市,1357424
山东省,栖霞市,市,589620
山东省,青岛市,市,8715087
山东省,青州市,市,940355
山东省,曲阜市,市,640498
山东省,日照市,市,2801013
山东省,荣成市,市,714355
山东省,乳山市,市,572481
山东省,山东省,省,95792719
山东省,寿光市,市,1139454
山东省,泰安市,市,5494207
山东省,滕州市,市,1603659
山东省,威海市,市,2804771
山东省,潍坊市,市,9086241
山东省,文登市,市,673625
山东省,新泰市,市,1315942
山东省,烟台市,市,6968202
山东省,兖州市,市,618394
山东省,禹城市,市,490031
山东省,枣庄市,市,3729140
山东省,章丘市,市,1064210
山东省,招远市,市,566244
山东省,诸城市,市,1086222
山东省,淄博市,市,4530597
山东省,邹城市,市,1116692
山西省,大同市,市,3318054
山西省,汾阳市,市,416212
山西省,高平市,市,484862
山西省,古交市,市,205143
山西省,河津市,市,395527
山西省,侯马市,市,240005
山西省,霍州市,市,282905
山西省,介休市,市,406517
山西省,晋城市,市,2279146
山西省,晋中市,市,3249425
山西省,临汾市,市,4316610
山西省,潞城市,市,226874
山西省,吕梁市,市,3727068
山西省,山西省,省,35712101
山西省,朔州市,市,1714857
山西省,太原市,市,4201592
山西省,孝义市,市,468770
山西省,忻州市,市,3067503
山西省,阳泉市,市,1368502
山西省,永济市,市,444724
山西省,原平市,市,491213
山西省,运城市,市,5134779
山西省,长治市,市,3334565
陕西省,安康市,市,2629906
陕西省,宝鸡市,市,3716737
陕西省,韩城市,市,391164
陕西省,汉中市,市,3416196
陕西省,华阴市,市,258113
陕西省,陕西省,省,37327379
陕西省,商洛市,市,2341742
陕西省,铜川市,市,834437
陕西省,渭南市,市,5286077
陕西省,西安市,市,8467838
陕西省,咸阳市,市,5096001
陕西省,兴平市,市,541554
陕西省,延安市,市,2187009
陕西省,榆林市,市,3351436
上海市,上海市,市,23019196
四川省,巴中市,市,3283148
四川省,成都市,市,14047625
四川省,崇州市,市,661120
四川省,达州市,市,5468097
四川省,德阳市,市,3615758
四川省,都江堰市,市,657996
四川省,峨眉山市,市,437068
四川省,广安市,市,3205476
四川省,广汉市,市,591115
四川省,广元市,市,2484122
四川省,华蓥市,市,278359
四川省,简阳市,市,1071214
四川省,江油市,市,762140
四川省,阆中市,市,728935
四川省,乐山市,市,3235759
四川省,泸州市,市,4218427
四川省,眉山市,市,2950545
四川省,绵阳市,市,4613871
四川省,绵竹市,市,477868
四川省,南充市,市,6278614
四川省,内江市,市,3702847
四川省,攀枝花市,市,1214121
四川省,彭州市,市,762887
四川省,邛崃市,市,612753
四川省,什邡市,市,412758
四川省,四川省,省,80417528
四川省,遂宁市,市,3252619
四川省,万源市,市,407594
四川省,西昌市,市,712434
四川省,雅安市,市,1507258
四川省,宜宾市,市,4471896
四川省,资阳市,市,3665057
四川省,自贡市,市,2678899
天津市,天津市,市,12938693
西藏自治区,拉萨市,市,559423
西藏自治区,日喀则市,市,120374
新疆维吾尔自治区,阿克苏市,市,535657
新疆维吾尔自治区,阿拉尔市,市,158593
新疆维吾尔自治区,阿勒泰市,市,190064
新疆维吾尔自治区,阿图什市,市,240368
新疆维吾尔自治区,博乐市,市,235585
新疆维吾尔自治区,昌吉市,市,426253
新疆维吾尔自治区,阜康市,市,165006
新疆维吾尔自治区,哈密市,市,472175
新疆维吾尔自治区,和田市,市,322300
新疆维吾尔自治区,喀什市,市,506640
新疆维吾尔自治区,克拉玛依市,市,391008
新疆维吾尔自治区,库尔勒市,市,549324
新疆维吾尔自治区,奎屯市,市,515082
新疆维吾尔自治区,石河子市,市,380130
新疆维吾尔自治区,塔城市,市,161037
新疆维吾尔自治区,图木舒克市,市,135727
新疆维吾尔自治区,吐鲁番市,市,273385
新疆维吾尔自治区,乌鲁木齐市,市,3112559
新疆维吾尔自治区,乌苏市,市,298907
新疆维吾尔自治区,五家渠市,市,96436
新疆维吾尔自治区,伊宁市,市,166261
云南省,安宁市,市,341341
云南省,保山市,市,2506491
云南省,楚雄市,市,588620
云南省,大理市,市,652045
云南省,个旧市,市,459781
云南省,景洪市,市,519935
云南省,开远市,市,322693
云南省,昆明市,市,6432209
云南省,丽江市,市,1244769
云南省,临沧市,市,2429497
云南省,潞西市,市,389891
云南省,普洱市,市,2542898
云南省,曲靖市,市,5855055
云南省,瑞丽市,市,180627
云南省,宣威市,市,1302891
云南省,玉溪市,市,2303518
云南省,云南省,省,45966766
云南省,昭通市,市,5213521
浙江省,慈溪市,市,1462383
浙江省,东阳市,市,804398
浙江省,奉化市,市,491697
浙江省,富阳市,市,717694
浙江省,海宁市,市,806966
浙江省,杭州市,市,8700373
浙江省,湖州市,市,2893542
浙江省,嘉兴市,市,4501657
浙江省,建德市,市,430750
浙江省,江山市,市,467862
浙江省,金华市,市,5361572
浙江省,兰溪市,市,560514
浙江省,乐清市,市,1389332
浙江省,丽水市,市,2116957
浙江省,临安市,市,566665
浙江省,临海市,市,1028813
浙江省,龙泉市,市,234626
浙江省,宁波市,市,7605689
浙江省,平湖市,市,671834
浙江省,衢州市,市,2122661
浙江省,瑞安市,市,1424667
浙江省,上虞市,市,779412
浙江省,绍兴市,市,4912239
浙江省,嵊州市,市,679762
浙江省,台州市,市,5968838
浙江省,桐乡市,市,815848
浙江省,温岭市,市,1366794
浙江省,温州市,市,9122102
浙江省,义乌市,市,1234015
浙江省,永康市,市,723490
浙江省,余姚市,市,1010659
浙江省,浙江省,省,54426891
浙江省,舟山市,市,1121261
浙江省,诸暨市,市,1157938
重庆市,重庆市,市,28846170
总计,,,2626489789
